,,,,Marketwise Price & Arrival Report (22-12-2025),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2025-26,"Price on 22 Dec, 2025","Price on 21 Dec, 2025","Price on 20 Dec, 2025","Arrival on 22 Dec, 2025","Arrival on 21 Dec, 2025","Arrival on 20 Dec, 2025"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2224.23,2222.67,2187.04,1332.99,387.70,873.90
Cereals,Barley(Jau),1980.00,2175.50,2253.78,2194.10,84.57,44.10,7.47
Cereals,Jowar(Sorghum),3699.00,2975.90,3000.00,3277.09,503.79,45.10,314.30
Cereals,Maize,2400.00,1703.92,1610.67,1719.93,36944.89,7307.60,20316.98
Cereals,Paddy(Common),2369.00,2409.64,2483.01,2476.05,82367.49,4884.27,24172.15
Cereals,Ragi(Finger Millet),4886.00,3561.28,-,3441.16,124.77,-,50.00
Cereals,Wheat,2425.00,2436.44,2416.56,2465.42,7480.27,1637.34,4722.03
Fibre Crops,Cotton,7710.00,7167.23,7449.42,7189.62,7387.92,299.07,5985.86
Fibre Crops,Jute,5650.00,8834.48,8947.65,8772.17,246.85,109.65,228.20
Oil Seeds,Copra,12100.00,27675.76,-,17288.89,479.83,-,4.50
Oil Seeds,Groundnut,7263.00,6048.37,6570.69,5946.58,4776.08,169.34,3525.79
Oil Seeds,Mustard,5950.00,6559.05,6637.18,6487.59,1255.56,95.56,1073.90
Oil Seeds,Niger Seed(Ramtil),9537.00,8500.00,10000.00,-,4.60,12.00,-
Oil Seeds,Safflower,5940.00,8847.48,-,8885.88,2.30,-,1.60
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9204.51,9482.79,9081.98,47.60,3.30,26.41
Oil Seeds,Soyabean,5328.00,4250.18,4067.06,4376.18,18021.86,119.78,5332.57
Oil Seeds,Sunflower,7721.00,6928.82,-,6542.72,30.00,-,20.30
Oil Seeds,Sunflower Seed,6760.00,1500.00,-,-,1.00,-,-
Others,Sugarcane,285.00,1761.32,3219.51,3268.29,2.65,0.82,0.82
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,6766.03,5666.15,6920.09,3555.33,6.97,1755.37
Pulses,Bengal Gram(Gram)(Whole),5650.00,5044.57,4565.27,5008.13,925.55,9.10,514.91
Pulses,Black Gram(Urd Beans)(Whole),7800.00,5526.14,6324.03,5293.41,371.29,89.10,306.49
Pulses,Green Gram(Moong)(Whole),8768.00,6816.43,5117.10,6206.76,2127.99,57.60,1231.97
Pulses,Lentil(Masur)(Whole),6700.00,5918.29,-,6090.83,64.53,-,35.25
Vegetables,Onion,-,1078.49,1824.39,1012.83,49456.25,7632.03,39632.11
Vegetables,Potato,-,794.40,1134.37,942.08,23678.86,8629.72,18418.53
Vegetables,Tomato,-,2352.50,3464.70,2949.09,4479.23,2369.15,6179.02

